iter	Passed	Remaining
0	8	796
1	13	667
2	19	630
3	26	624
4	31	603
5	38	605
6	44	592
7	49	571
8	56	566
9	61	552
10	67	543
11	73	538
12	78	526
13	84	517
14	90	511
15	95	502
16	101	497
17	107	488
18	112	480
19	118	475
20	124	466
21	129	459
22	135	454
23	140	446
24	146	438
25	152	432
26	157	424
27	163	419
28	169	414
29	174	408
30	181	405
31	188	400
32	194	395
33	201	390
34	206	383
35	212	378
36	219	373
37	226	369
38	232	364
39	239	359
40	245	353
41	252	349
42	257	341
43	265	337
44	270	330
45	276	324
46	282	318
47	288	312
48	295	307
49	300	300
50	306	294
51	312	288
52	317	281
53	322	274
54	328	269
55	334	262
56	339	255
57	345	250
58	350	243
59	356	237
60	361	231
61	367	225
62	373	219
63	379	213
64	384	207
65	392	202
66	399	196
67	408	192
68	415	186
69	426	182
70	432	176
71	440	171
72	448	165
73	456	160
74	462	154
75	468	147
76	475	141
77	480	135
78	487	129
79	494	123
80	502	117
81	509	111
82	515	105
83	521	99
84	527	93
85	534	86
86	540	80
87	545	74
88	552	68
89	558	62
90	564	55
91	570	49
92	576	43
93	582	37
94	588	30
95	594	24
96	601	18
97	607	12
98	614	6
99	620	0
