iter	RMSE
0	0.5427224874
1	0.5115037741
2	0.4842505896
3	0.4604460669
4	0.4403494448
5	0.4226792226
6	0.4069491162
7	0.3933622333
8	0.3811519555
9	0.3712321512
10	0.3627029711
11	0.3550374591
12	0.3482122885
13	0.3425490264
14	0.3374873783
15	0.3326471752
16	0.3284805125
17	0.3250436396
18	0.3215335033
19	0.3185918594
20	0.3158531861
21	0.3133054051
22	0.3103613585
23	0.3081436371
24	0.306189793
25	0.3041074598
26	0.3023098925
27	0.3007758679
28	0.2994525279
29	0.2978895388
30	0.2962819892
31	0.2951153655
32	0.2938582525
33	0.2924640059
34	0.2914341194
35	0.2905697168
36	0.2897613135
37	0.2886349187
38	0.2878337891
39	0.2870152583
40	0.2863660857
41	0.2856042947
42	0.2849044588
43	0.2842177573
44	0.2836260629
45	0.2830982143
46	0.2825950389
47	0.2817661555
48	0.2812735938
49	0.2807255801
50	0.2803301902
51	0.2799046624
52	0.2795156701
53	0.2791090489
54	0.2784940279
55	0.2777609324
56	0.2774405783
57	0.2769114994
58	0.276548437
59	0.2761343922
60	0.2757131188
61	0.2752027462
62	0.2748120887
63	0.2743206887
64	0.2739460347
65	0.2736287726
66	0.2733060583
67	0.2730863232
68	0.2728094378
69	0.2724941838
70	0.2722063594
71	0.2718920914
72	0.2715080917
73	0.2713730065
74	0.2711519196
75	0.2709570609
76	0.2706616828
77	0.2704120707
78	0.2701755576
79	0.270018331
80	0.2698041965
81	0.2696398367
82	0.2694212405
83	0.2692610085
84	0.2688634897
85	0.2686332694
86	0.2684437388
87	0.2681409731
88	0.2679853925
89	0.2677355647
90	0.2675170077
91	0.2671109235
92	0.2668194573
93	0.266594107
94	0.266282758
95	0.2661037162
96	0.2658171852
97	0.2656349851
98	0.2654757756
99	0.2653679469
